เมนู / เลือกเนื้อสัตว์,ไก่,หมูชิ้น / หมูสับ,หมูกรอบ,กุ้ง / ปลาหมึก,ปลากระพง,เนื้อสับ / ชิ้น,เต้าหู้ไข่
ทอดกระเทียม,69,69,89,89,125,89/120,69
ผัดกระเพรา,69,69,89,89,125,89/120,69
ผัดน้ำมันหอย,69,69,89,89,125,89/120,69
ผัดพริกสด,69,69,89,89,125,89/120,69
ผัดพริกเผา,69,69,89,89,125,89/120,69
ผัดพริกแกงใต้,69,69,89,89,125,89/120,
ผัดผงกะหรี่,,,,99,,,
ผัดพริกไทยดำ,69,69,89,89,125,89/120,69
ผัดฉ่า,69,69,89,89,125,89/120,69
คั่วพริกเกลือ,69,69,89,89,125,89/120,69
ผัดผัก (ผักเปล่า 49),69,69,89,89,125,89/120,69
ข้าวต้ม,69,69,89,89,125,120,
